Sr_No,Location_Coordinates,Hospital_Name,Specialties,Address_Original_First_Line,State,District,Pincode,Telephone,Mobile_Number,Emergency_Num,Facilities,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Latitude,Longitude
975,"15.4785694, 78.4830934",Swami Super Speciality Netralayam And Skin Care Centre,[],"Beside Satyasi Kalyanamandapam, Sanjeevanagar, Nandyal Nandyal",Andhra Pradesh,Kurnool,518501.0,"08514    225999,244370",,,,,,,15.4785694,78.4830934
977,"14.4425987, 79.986456",Anasuya Institute Medical Sciences,[],"16-2-142, Adjacent Lane To Hotel Venkata Ramana, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,0861    2326233,,,,,,,14.4425987,79.986456
978,"13.0320585, 80.1366009",Aravind Kidney Centre,[],"# 15/402, Brindavanam Main Road",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,13.0320585,80.1366009
980,"14.4425987, 79.986456",Bhaskar Reddy Hospital,[],"Near Vijayamahal Gate, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
982,"14.4425987, 79.986456",Dr Andals Lakshmi Fertility Research and Laparoscopic Surgical Centre,[],"Dr S Andul Bhaskar, 16-2-94, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,2329747,9399959978,,,,,,14.4425987,79.986456
983,"14.4425987, 79.986456",Dr P Madhusudhana Sastry Hospital,[],Pogathota Pogathota,Andhra Pradesh,SPSR Nellore,524001.0,"0861  2331509,2336829  0",,,,,,,14.4425987,79.986456
984,"14.4425987, 79.986456",Dr.P.V.Ramchandra Reddys Peoples Polyclinic,[],"16-11-524, Sankaragraharam",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
985,"14.4425987, 79.986456",Guram Chilren Hospital,[],Ragava Cene Complex Road,Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
986,"14.4533977, 79.9836108",Lakshmi Fertility Research and Laparoscopic Surgical Center,[],"16/1042, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,"0861  2328914,2341870",,,,,,,14.4533977,79.9836108
988,"14.4425987, 79.986456",Lalitha Hebbar Nursing Home,[],,Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
989,"14.4425987, 79.986456",Latha Matrnity and Children Hospital,[],"Christianpet,Ii Lane,Kavali",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
991,"14.4483939, 79.9843099",Madurai Netralaya,[],"16-2-280, Beside Sunday Market, Gandhi Nagar, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,0861  2345588,,,,,,,14.4483939,79.9843099
992,"14.4425987, 79.986456",Modern Eye Hospital And Research Centre,[],#16-11-101 Beside Venkataramana Hotel Lane Pogathota,Andhra Pradesh,SPSR Nellore,524001.0,"0861    2324868,2306015",,,,,,,14.4425987,79.986456
994,"13.0821587, 80.1686614",Nizams Little Star Children Hospital,[],"Near Madras Bus Stand, Opposite . Court",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,13.0821587,80.1686614
995,"14.4425987, 79.986456",R K Eye Care Center,[],"15/68, Brundavanam",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
996,"14.4483939, 79.9843099",R.S.R.Hospital,[],"16-2-90,OppositeRaghvacine Complex,Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,2321693,,,,,,,14.4483939,79.9843099
997,"14.4506929, 79.9862656",Ramakrishna Diabetes Research Center,[],"16-2-114, Raghava Cine Complex Road",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4506929,79.9862656
998,"14.4425987, 79.986456",Rich Hospitals,[],"16-2-131, Kasturidevi Nagar, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,"0861    2328562,2326228,2328333",,,,,,,14.4425987,79.986456
1001,"14.4506929, 79.9862656",Sireeha Netralaya,[],16-2-82 Raghava Cine Complex Road,Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4506929,79.9862656
1003,"13.632021, 79.4141978",Sri Ramachandra Nursing Home,[],"Gandhi Nagar, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,13.632021,79.4141978
1004,"28.693808, 77.3349982",Sri Ratnam Hospital,[],"16/242, Near Sunday Market",Andhra Pradesh,SPSR Nellore,524001.0,0861  2327006,,,,,,,28.693808,77.3349982
1006,"14.4501074, 79.9859957",Susrutha Uro Renal Hospital,[],"Pogathota, Near Raghava Cine Complex",Andhra Pradesh,SPSR Nellore,524001.0,0861  2327724,,,,,,,14.4501074,79.9859957
1007,"14.4483939, 79.9843099",Thanuja Maternity Hospital,[],"16-2/137, Kasthuri Devi Nagar, 3Rd Street From Raghava Cine Complex, Pogathota",Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4483939,79.9843099
1008,"14.4425987, 79.986456",Vasan Eye Care Hospital,[],"15-365, Brindavanam Brindavanam",Andhra Pradesh,SPSR Nellore,524001.0,0861    2347456,,,,,,,14.4425987,79.986456
1009,"14.4425987, 79.986456",Venkataramana Hospital,[],Gandhi Nagar,Andhra Pradesh,SPSR Nellore,524001.0,,,,,,,,14.4425987,79.986456
1010,"14.4425987, 79.986456",Viajya Hospital (A Unit Of Vijaya Krishna Hospitals Pvt Ltd),[],16 Ii/41A Pogathiota,Andhra Pradesh,SPSR Nellore,524001.0,"0861  2321828,2331828",9849048222,,,,,,14.4425987,79.986456
1011,"14.4501074, 79.9859957",Vijaya Hospital,[],"16 Ii/41 A, Pogathota, Raghava Cine Complex Road",Andhra Pradesh,SPSR Nellore,524001.0,"2321828,2331828",,,,,,,14.4501074,79.9859957
1012,"14.4425987, 79.986456",Narayana General Hospital And Super Speciality Hospital,[],"Chintha Reddy Palem, Muthukur Road",Andhra Pradesh,SPSR Nellore,524002.0,0861    2304922,,,,,,,14.4425987,79.986456
1014,"14.4425987, 79.986456",Bolleneni Super Speciality Hospital,[],Darga Mitta,Andhra Pradesh,SPSR Nellore,524003.0,0861    2312777,,,,,,,14.4425987,79.986456
1015,"14.4475899, 79.9801671",Kavitha Nursing Home,[],"Near Leela Mahal, Nellor",Andhra Pradesh,SPSR Nellore,524003.0,2325344,,,,,,,14.4475899,79.9801671
1016,"14.4425987, 79.986456",Vaishnavi Clinic,[],"23/951, Wahabpet, Near Vegetable Market",Andhra Pradesh,SPSR Nellore,524003.0,,,,,,,,14.4425987,79.986456
1017,"17.6441503, 81.6829431",C.R. Reddy Hospital,[],"# 13/264, Hospital Road, Gudur",Andhra Pradesh,SPSR Nellore,524101.0,08624  251485,,,,,,,17.6441503,81.6829431
1019,"14.4425987, 79.986456",Mydhili Hospital,[],"14/20, I C S Road, Gudur",Andhra Pradesh,SPSR Nellore,524101.0,"08624    253896,253897",,,,,,,14.4425987,79.986456
1020,"14.4425987, 79.986456",Shar Hospital,[],Sriharikota,Andhra Pradesh,SPSR Nellore,524124.0,,,,,,,,14.4425987,79.986456
1021,"14.4425987, 79.986456",Seshama Naidu Hospital,[],Venkatagiri,Andhra Pradesh,SPSR Nellore,524132.0,,,,,,,,14.4425987,79.986456
1022,"13.9559395, 79.5815375",Sri Sadana Nursing Home,[],East Street Venkatagiri,Andhra Pradesh,SPSR Nellore,524132.0,08625    257023,,,,,,,13.9559395,79.5815375
1023,"17.6574908, 79.432224",Srinivasa Nursing Home,[],"24-23, Padmasali Street",Andhra Pradesh,SPSR Nellore,524132.0,,,,,,,,17.6574908,79.432224
1024,"27.376358, -81.410526",Vamsi Nursing Home,[],"A.S.Temple Street, Venkatagiri",Andhra Pradesh,SPSR Nellore,524132.0,257006,9346402506,,,,,,27.376358,-81.410526
1025,"14.912581, 79.9900693",Aravind Eye and Diabetes Clinic,[],"5 Th Lane, Christianpet, Kavali",Andhra Pradesh,SPSR Nellore,524201.0,,,,,,,,14.912581,79.9900693
1028,"15.6269153, 77.2732213",Ravi Nursing Home,[],"3-9-3 A, Kanyaka Parameswari Temple Street",Andhra Pradesh,SPSR Nellore,524201.0,,,,,,,,15.6269153,77.2732213
1031,"14.4425987, 79.986456",K.M. Hospital,[],"Global Nagar, Buchi, Opposite Global School",Andhra Pradesh,SPSR Nellore,524305.0,08622  272977,,,,,,,14.4425987,79.986456
1033,"14.4425987, 79.986456",Dr Bsr Hospital,[],Jagannadha Rao Peta Jagannadha Rao Peta Atmakur,Andhra Pradesh,SPSR Nellore,524322.0,08627    220224,,,,,,,14.4425987,79.986456
1034,"15.5057232, 80.049922",Amma Eye Hospital Ongole,[],"60 Feet Road, Satyanaryanapuram, Ongole",Andhra Pradesh,Prakasam,523001.0,08594  650567,,,,,,,15.5057232,80.049922
1035,"15.5129969, 80.0404447",Aravind Eye Hospital,[],H. No- 37-1-169/60 Near Rtc Bus Stand Kurnool Road Ongole,Andhra Pradesh,Prakasam,523001.0,,,,,,,,15.5129969,80.0404447
1036,"15.511269, 80.0398918",G S R Hospital,[],"37 - 1 - 169/57/C, Sundaraiah Bhavan Road",Andhra Pradesh,Prakasam,523001.0,08592  221145,,,,,,,15.511269,80.0398918
1037,"15.497106, 80.0548894",K V Nursing Home,[],Santhapet Ongole,Andhra Pradesh,Prakasam,523001.0,"220840,232033  0",,,,,,,15.497106,80.0548894
1038,"15.497106, 80.0548894",Kommalapati Veeraiah Nursing Home,[],"Santhapet,Ongole",Andhra Pradesh,Prakasam,523001.0,232033,,,,,,,15.497106,80.0548894
1039,"15.511333, 80.0412671",Mps Memorial Hospital,[],"Near Rtc Depot , Kurnool Road",Andhra Pradesh,Prakasam,523001.0,0859 2230533,,,,,,,15.511333,80.0412671
1040,"15.5048412, 80.0516895",Nalluri Nursing Home,[],K P Road K P Road Ongole,Andhra Pradesh,Prakasam,523001.0,08592    233006,,,,,,,15.5048412,80.0516895
1042,"14.4422571, 79.9770784",Prasad Vydyasala,[],"Near Nellor Bus Stand, Santhapeta Trunk",Andhra Pradesh,Prakasam,523001.0,08592  232002,,,,,,,14.4422571,79.9770784
1043,"21.2530873, 81.6311991",Rambabu Hospital,[],Station Road Station Road,Andhra Pradesh,Prakasam,523001.0,08592  232222,,,,,,,21.2530873,81.6311991
1044,"15.511333, 80.0412671",Ravi Mother and Child Hospital,[],"Anjaiah Road, Near Rtc Bus Stand",Andhra Pradesh,Prakasam,523001.0,08592  230900,,,,,,,15.511333,80.0412671
1045,"15.5057232, 80.049922",Samata Hospital Orthopaedic and Maternity Hospiital,[],"Sundaraiah Bhavan Road, Near R.T.C. Bus Stand Ongole",Andhra Pradesh,Prakasam,523001.0,,,,,,,,15.5057232,80.049922
1046,"15.5057232, 80.049922",Sanghamitra Hospital Pvt Ltd,[],"South Bypass Junction , Ongole",Andhra Pradesh,Prakasam,523001.0,,,,,,,,15.5057232,80.049922
1049,"15.5057232, 80.049922",Vijaya Hospital,[],"Opposite R T C Bus Stand Depot, 60 Feet Road, Satyanarayanapuram, Ongole",Andhra Pradesh,Prakasam,523001.0,,,,,,,,15.5057232,80.049922
1050,"15.5141463, 80.0438555",Yamini Eye Care - Prakasam,[],"60Feet Road Ongole, Prakasam",Andhra Pradesh,Prakasam,523001.0,283131,,,,,,,15.5141463,80.0438555
1051,"17.0636719, 78.4886912",Ajmal Nursing Home,[],"# 14-1-46, Athar Street Kandukur",Andhra Pradesh,Prakasam,523002.0,,,,,,,,17.0636719,78.4886912
1052,"15.5057232, 80.049922",Amrutha Heart Hospital,[],"60 Feet Road,Ongole, 60 Feet Road,Ongole",Andhra Pradesh,Prakasam,523002.0,08592  234419,,,,,,,15.5057232,80.049922
1053,"15.5057232, 80.049922",Aneesh Kidney Centre,[],"Power Office Road, Lambadi Donka Ongole",Andhra Pradesh,Prakasam,523002.0,224545,,,,,,,15.5057232,80.049922
1054,"15.511269, 80.0398918",Bharathi Nursing Home,[],"Sundaraiah Bhavan Road, Kurnool Road, Ongole",Andhra Pradesh,Prakasam,523002.0,33440,,,,,,,15.511269,80.0398918
1056,"15.5129969, 80.0404447",Devi Hospital,[],"Opposite Navabharath Buildings, Kurnool Road, Ongole",Andhra Pradesh,Prakasam,523002.0,,,,,,,,15.5129969,80.0404447
1057,"15.5106771, 80.0374627",Durga Nursing Home- Anjaiah Road,[],"# 20-6-1/138(2), Anjaiah Road, Ongole",Andhra Pradesh,Prakasam,523002.0,239069,,,,,,,15.5106771,80.0374627
1060,"15.5057232, 80.049922",Pranathi Neuro Speciality Hospital,[],"Bramarachari Street,Ajnaiah Road,Ongole",Andhra Pradesh,Prakasam,523002.0,222405,,,,,,,15.5057232,80.049922
1061,"15.511269, 80.0398918",Sai Nursing Home,[],"20 - 7 - 61, Sundhariha Bhavan Road",Andhra Pradesh,Prakasam,523002.0,,,,,,,,15.511269,80.0398918
1062,"15.511333, 80.0412671",Sevita Nursing Home,[],"Kurnool Road, Prakasam Near Rtc Bus Stand",Andhra Pradesh,Prakasam,523002.0,,,,,,,,15.511333,80.0412671
1063,"15.5141463, 80.0438555",Sri Lakshmi Nursing Home,[],"Near Stayam Theatre,60 Feet Road,Ongole",Andhra Pradesh,Prakasam,523002.0,,,,,,,,15.5141463,80.0438555
1064,"15.5129969, 80.0404447",Srinivasa Hospital,[],"Sundaraiah Bhavan Road, Near Rtc Road, Kurnool Road, Ongole",Andhra Pradesh,Prakasam,523002.0,234221,,,,,,,15.5129969,80.0404447
1066,"15.8281257, 78.0372792",Venkata Ramana Nursing Home,[],"Kurnool Road , Opp- Ars Rtc Bus Stand",Andhra Pradesh,Prakasam,523002.0,,,,,,,,15.8281257,78.0372792
1069,"15.2500044, 80.0212291",Pragathi Nursing Home,[],Singarayakonda,Andhra Pradesh,Prakasam,523101.0,08598  236248,,,,,,,15.2500044,80.0212291
1070,"17.0636719, 78.4886912",Dr Kotareddy Hospitals,[],"Kotareddy Nagar Main Road, Praksham Kandukur,",Andhra Pradesh,Prakasam,523105.0,08598    222800,,,,,,,17.0636719,78.4886912
1071,"17.0636719, 78.4886912",Harini Peoples Clinic,[],"J K Complex , Kovi Road, Near Rtc Bus Stand, Kandukur",Andhra Pradesh,Prakasam,523105.0,,,,,,,,17.0636719,78.4886912
1075,"15.8423622, 80.3491599",Prema Hospital,[],Shanthi Theatre Road Chirala Town Shanthi Theatre Road Chirala,Andhra Pradesh,Prakasam,523155.0,08594    233339,,,,,,,15.8423622,80.3491599
1077,"15.830545, 80.3558369",Ravi Nursing Home,[],Government Hospital Road Wood Nagar Chirala Town Chirala,Andhra Pradesh,Prakasam,523155.0,08594    232660,,,,,,,15.830545,80.3558369
1079,"15.8423622, 80.3491599",Solomon Nursing Home [Chirala],[],"Solomon Grama Panchayat, Solomon Centre, Chirala",Andhra Pradesh,Prakasam,523155.0,,,,,,,,15.8423622,80.3491599
1081,"18.3891036, 78.8111168",Sree Sai Childrens Hospital,[],"22 - 1 - 4 (30), Near Shanti Theatre Road",Andhra Pradesh,Prakasam,523155.0,233226,,,,,,,18.3891036,78.8111168
1082,"15.8135755, 80.3547286",Sri Saraswathi Nursing Home,[],"Municipal Office Road, Chirala",Andhra Pradesh,Prakasam,523155.0,,,,,,,,15.8135755,80.3547286
1083,"15.8246833, 80.3608605",G.K.M. Nursing Home,[],"Govt Hospital Road, Chirala",Andhra Pradesh,Prakasam,523157.0,,,,,,,,15.8246833,80.3608605
1084,"15.8135755, 80.3547286",Vijaya Nursing Home,[],"Wood Nagar, Opposite Sai Palace, Chirala",Andhra Pradesh,Prakasam,523157.0,,,,,,,,15.8135755,80.3547286
1086,"15.8083865, 79.8868552",Jhansi Nursing Home,[],"Adhanki Road, Prakasam Road",Andhra Pradesh,Prakasam,523247.0,,,,,,,,15.8083865,79.8868552
1087,"15.3431014, 80.0302516",Sreenivasa Multi Speciality Hospital,[],"Kondapi Road , Tangutur",Andhra Pradesh,Prakasam,523274.0,,,,,,,,15.3431014,80.0302516
1089,"15.5898209, 79.1125135",Sri Lakshmi Mallikarjuna Gastro and Laproscopy Centre,[],Cumbum,Andhra Pradesh,Prakasam,523333.0,,,,,,,,15.5898209,79.1125135
1090,"15.3763583, 78.9250862",Bandaru Rangayya Yadav Memorial Trust Association,[],"R.C.No.232, Ganesh Nagar, Door No.8-20-21, Giddalur",Andhra Pradesh,Prakasam,523357.0,,,,,,,,15.3763583,78.9250862
1093,"18.2991263, 83.8947235",Amma Hospital,[],"Pala Konda Road,, Near Krishna Park",Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.2991263,83.8947235
1094,"18.3044903, 83.8830523",Amrutha Hospital,[],"Day and Night Junction, Beside New Bridge",Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.3044903,83.8830523
1096,"18.3072486, 83.8964979",Deepa Nursing Home,[],Illisipuram Jn.,Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.3072486,83.8964979
1097,"18.4555839, 83.6493806",Gmr Varalaxmi Care Hospital,[],"Survey No.201-1,2,3,4,5,Rajam",Andhra Pradesh,Srikakulam,532001.0,,8941 253184,,,,,,18.4555839,83.6493806
1098,"18.7980888, 84.3899317",K C Eye Hospital,[],Prakash Nagar Colony,Andhra Pradesh,Srikakulam,532001.0,21010,,,,,,,18.7980888,84.3899317
1099,"18.2890868, 83.9055997",Kims Sai Seshadri Hospital,[],"New Bridge Road, Near Datta Temple, Pn Colony Junction",Andhra Pradesh,Srikakulam,532001.0,"08942  271116,271117,271118",,,,,,,18.2890868,83.9055997
1100,"18.2890868, 83.9055997",Krishna Nursing Home,[],"5-4-11, Sbi Officers Colony , Punyapu Street",Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.2890868,83.9055997
1101,"18.2969747, 83.8967813",Mgm Hospital,[],"Beside New Bridge, Day and Night",Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.2969747,83.8967813
1103,"18.3148007, 83.8946364",Pavani Nursing Home,[],"Palakonda Road,,.",Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.3148007,83.8946364
1104,"18.2969747, 83.8967813",Sanjeevini Hospital,[],Illispuram Junction,Andhra Pradesh,Srikakulam,532001.0,08942  224333,,,,,,,18.2969747,83.8967813
1105,"18.2890868, 83.9055997",Santhi Nursing Home,[],Opp Ramalaxmana Theatre Opp Ramalaxmana Theatre Srikakulam 532001  Srikakulam,Andhra Pradesh,Srikakulam,532001.0,08942  221166,,,,,,,18.2890868,83.9055997
1106,"18.1836024, 83.7813181",Sarojini Devi Hospital,[],Lllisipuram West,Andhra Pradesh,Srikakulam,532001.0,279696,,,,,,,18.1836024,83.7813181
1107,"18.3051535, 83.8904518",Sindhura Hospitals,[],New Bridge Road,Andhra Pradesh,Srikakulam,532001.0,08942  228455,,,,,,,18.3051535,83.8904518
1109,"18.2936806, 83.8962459",Vijaya Harsha Mother And Child Hospital,[],Old Bus Stand,Andhra Pradesh,Srikakulam,532001.0,08942  222221,,,,,,,18.2936806,83.8962459
1110,"18.2969747, 83.8967813",Vijaya Surgical Speciality Hospital,[],College Road,Andhra Pradesh,Srikakulam,532001.0,,,,,,,,18.2969747,83.8967813
1112,"18.2969747, 83.8967813",Sri Srinivasa Nursing Home,[],"9-1-236, Main Road",Andhra Pradesh,Srikakulam,532185.0,,,,,,,,18.2969747,83.8967813
1113,"18.6041438, 84.2378613",Sri Sathya Sai Medical Center,[],"Old Bus Stand , Tekkali",Andhra Pradesh,Srikakulam,532201.0,,,,,,,,18.6041438,84.2378613
1115,"23.2156354, 72.6369415",Sitarama Nursing Home,[],Gandhinagar-2 Kasibugga,Andhra Pradesh,Srikakulam,532221.0,,,,,,,,23.2156354,72.6369415
1116,"18.2969747, 83.8967813",Sri Rajeshwari Nursing Home,[],Opp Srinivasa Lodge Degree College Road Kasibugga,Andhra Pradesh,Srikakulam,532222.0,"08942  242126,242166",,,,,,,18.2969747,83.8967813
1118,"18.9456083, 84.582481",Arogyavaram Eye Hospital and Contact Lens Clinic,[],"Sompeta, rict Srikakulam ,",Andhra Pradesh,Srikakulam,532284.0,,,,,,,,18.9456083,84.582481
1120,"18.9456083, 84.582481",Mahalaxmi Nursing Home,[],"College Road, Sompeta",Andhra Pradesh,Srikakulam,532284.0,,,,,,,,18.9456083,84.582481
1121,"18.2969747, 83.8967813",Revatirupathi Hospital,[],Srikakulam,Andhra Pradesh,Srikakulam,532284.0,,,,,,,,18.2969747,83.8967813
1122,"18.2969747, 83.8967813",Srinivas Nursing Home,[],Subhadra Nagar,Andhra Pradesh,Srikakulam,532284.0,,,,,,,,18.2969747,83.8967813
1123,"18.2969747, 83.8967813",Susrutha Nursing Home,[],Takkali,Andhra Pradesh,Srikakulam,532284.0,,,,,,,,18.2969747,83.8967813
1125,"18.4163638, 84.0459255",Bharat Speciality Hospital,[],"Jayalaxmi Nagar, Opposite Rtc Complex, Narasannapeta",Andhra Pradesh,Srikakulam,532421.0,08941  276055,,,,,,,18.4163638,84.0459255
1126,"18.2969747, 83.8967813",Vaatsalya Hospital,[],"Bharat Healthcare Complex Opp Rtc Complex, Jayalakshmi Nagar Narasannapet",Andhra Pradesh,Srikakulam,532421.0,"08942  277455,277661",,,,,,,18.2969747,83.8967813
1127,"18.2969747, 83.8967813",Sri Srinivasa Nursing Home,[],"Main Road, Main Road",Andhra Pradesh,Srikakulam,532440.0,,,,,,,,18.2969747,83.8967813
1128,"18.6994536, 83.607618",Canossa Hospital,[],"Nandukuru, Veeraghattam",Andhra Pradesh,Srikakulam,532460.0,,,,,,,,18.6994536,83.607618
1129,"17.6868159, 83.2184815",Sraddha Hospital,[],"D/No-14-37-45, Collector Office Junction",Andhra Pradesh,Visakhapatnam,530001.0,,,,,,,,17.6868159,83.2184815
1130,"17.6868159, 83.2184815",T.Narayana Rao,[],Doctors and Doctors Plaza Opp K.G Hop Gate,Andhra Pradesh,Visakhapatnam,530001.0,2718211,,,,,,,17.6868159,83.2184815
1131,"17.6345641, 83.1970511",Visakhapatnam Steel General Hospital,[],Visakhapatnam Steel Plant,Andhra Pradesh,Visakhapatnam,530001.0,,,,,,,,17.6345641,83.1970511
1135,"17.6854046, 83.1499439",Abhaya Critical Care,[],"D.No. 18-1-34, Opposite K.G.H. O.P. Gate",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.6854046,83.1499439
1137,"17.7060613, 83.3091096",Apex Hospital,[],"16-1-5,Coastal Battery Road,Maharznipeta",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.7060613,83.3091096
1138,"17.7106864, 83.313465",Bharathi Hospital,[],14-24-1 Mens Hostel Road Maharanipeta,Andhra Pradesh,Visakhapatnam,530002.0,"0891  2526500,2526501",,,,,,,17.7106864,83.313465
1139,"17.6868159, 83.2184815",C.S.R. Hospital,[],"2Nd Lane, Official Colony, Near Collector Office Junction",Andhra Pradesh,Visakhapatnam,530002.0,3205654,,,,,,,17.6868159,83.2184815
1140,"17.7086746, 83.3069937",Care Hospital - Maharanipet,[],"Kgh Road, Maharanipet",Andhra Pradesh,Visakhapatnam,530002.0,0891 2555799,,,,,,,17.7086746,83.3069937
1142,"17.7243064, 83.3195085",City Care Hospital,[],"Near Circuit House,Ramanagar,Waltair Main Road",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.7243064,83.3195085
1143,"17.7106864, 83.313465",Genesis Children Hospital,[],"Door. No. 14-38/5, Muppidi Colony , Maharanipeta",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.7106864,83.313465
1144,"17.7104053, 83.3032966",Indus Hospitals,[],"No. 18-1-6, K. G. H. Down Road, Maharanipeta",Andhra Pradesh,Visakhapatnam,530002.0,2508881,,,,,,,17.7104053,83.3032966
1145,"17.7121136, 83.3121281",Kanakadurga Hospitals Pvt Ltd,[],D No: 15-6-10A Kanakadurga Nursing Home Road Near Zilla Parishad,Andhra Pradesh,Visakhapatnam,530002.0,"0891  6667201,2566932",,,,,,,17.7121136,83.3121281
1146,"17.6868159, 83.2184815",King George Hospital,[],Visakhapatnam,Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.6868159,83.2184815
1147,"17.708364, 83.3101227",Krishna Hospital - Visakhapatnam,[],"D.No-14-37-29/1, Krishna Nagar, Maharani Peta",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.708364,83.3101227
1148,"17.7189912, 83.3113226",Lazarus Hospitals Ltd,[],10-50-2 Waltair Main Road,Andhra Pradesh,Visakhapatnam,530002.0,0891  2780780,,,,,,,17.7189912,83.3113226
1149,"17.7103892, 83.3032894",Manipal Hospital,[],"18-1-3, Kgh Down Maharanipeta Jagadamba Junction",Andhra Pradesh,Visakhapatnam,530002.0,"0891  2854444,2854000",,,,,,,17.7103892,83.3032894
1150,"17.7064519, 83.3111737",Mythri Nursing Home,[],"16-1-4,K G H Beach Road,Maharanipet",Andhra Pradesh,Visakhapatnam,530002.0,0891 2706963,,,,,,,17.7064519,83.3111737
1152,"30.6935584, 76.2243708",R.K. Children's Hospital,[],"#15-13-7,Krishna Nagar",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,30.6935584,76.2243708
1155,"17.7106864, 83.313465",Rk Children Hospital and Perinatal Centre,[],"17-1-17, Dr. C.S. Mangamma Building, Opposite K.G.H., Maharanipeta",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.7106864,83.313465
1156,"17.708364, 83.3101227",Sagara Durga Hospital,[],"15 13 6, Krishna Nagar",Andhra Pradesh,Visakhapatnam,530002.0,2526833 37,,,,,,,17.708364,83.3101227
1157,"17.7106864, 83.313465",Samudra Hospitals,[],"18-1-25, Beside, Andhra Bank, Kgh Down , Maharanipeta",Andhra Pradesh,Visakhapatnam,530002.0,0891  2533955,,,,,,,17.7106864,83.313465
1158,"17.6868159, 83.2184815",Saryu Multicare Hospital,[],"D. No18-1-33,Opp K G H Op Gate",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.6868159,83.2184815
1159,"17.8250952, 83.3538012",Sevenhills Hospital Ltd.,[],Rock Dale Layout,Andhra Pradesh,Visakhapatnam,530002.0,"0891  2708090,2707911",,,,,,,17.8250952,83.3538012
1161,"17.6868159, 83.2184815",Shri Venkataramana Hospital,[],"# 15 -12-18/A, Krishna Nagar, Zillaparishad Junction",Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.6868159,83.2184815
1163,"17.708364, 83.3101227",Simhadri Hospital,[],"15-12-1, Krishna Nagar, Maharani Peta",Andhra Pradesh,Visakhapatnam,530002.0,"0891  2784545,2784646",,,,,,,17.708364,83.3101227
1165,"17.708364, 83.3101227",Sri Sagara Durga Medicals,[],Door No 15-13-6 Krishna Nagar,Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.708364,83.3101227
1166,"28.656668, 77.277813",Sri Venkataramana Hospital,[],15/12/18A Krishna Nagar,Andhra Pradesh,Visakhapatnam,530002.0,9849123848,,,,,,,28.656668,77.277813
1167,"17.6868159, 83.2184815",St. Joseph's Hospital,[],Mayaland,Andhra Pradesh,Visakhapatnam,530002.0,,,,,,,,17.6868159,83.2184815
1170,"17.6917856, 83.0110222",Vijaya Medical Centre,[],T.Narayana Rao Visakhapatnam,Andhra Pradesh,Visakhapatnam,530002.0,2718179,,,,,,,17.6917856,83.0110222
1171,"17.7106864, 83.313465",Vijetha Hospital,[],"15-13-12, Krishna Nagar, Near Vinayaka Temple, Maharanipeta",Andhra Pradesh,Visakhapatnam,530002.0,0891 6631355,,,,,,,17.7106864,83.313465
1173,"17.7243064, 83.3195085",Apollo Heart Hospital,[],Waltair Main Road,Andhra Pradesh,Visakhapatnam,530003.0,0891 2529618/2529619,,,,,,,17.7243064,83.3195085
